date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,Premier View One bed one bath Condo W/Pkg. North Waterfront Furnished,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-premier-view-one-bed-one/7188446068.html,3495,1,622.0,San Francisco North Waterfront,1Ba,"['application fee details: $30 for credit report', 'furnished', 'condo', 'w/d in unit', 'attached garage']"
Oct  1,"Elevated Modern Luxury, Discover The View From The Top",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-elevated-modern-luxury/7206393133.html,2194,,450.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Large Converted 3 BDR/1 BATH Flat w/ Shared Yard,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-converted-3-bdr-1/7206381033.html,2695,3,,,1Ba,"['apartment', 'laundry on site', 'no parking']"
Oct  1,Townhouse Loft Like One Bed One Bath W/Pkg. North Waterfront Unfurn.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-townhouse-loft-like-one/7201117143.html,3200,1,770.0,north beach / telegraph hill,1Ba,"['application fee details: $30 for credit report', 'condo', 'w/d in unit', 'attached garage']"
Oct  1,High on a hill in Maxwell Park neighborhood / Rent to Own,https://sfbay.craigslist.org/sfc/apa/d/oakland-high-on-hill-in-maxwell-park/7206325972.html,3800,4,2512.0,,3Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'house', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,REMODELED TOP FLOOR 3 BDRM/2 BATH ONE BLOCK FROM CORTLAND,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-top-floor-3/7205187854.html,4300,3,1300.0,bernal heights,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking']"
Oct  1,SoMa Penthouse  - Private Roof-Deck - Two Month Free ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-soma-penthouse-private/7206407677.html,4495,2,,SOMA / south beach,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,2 BDRM 1 BATH APT IN FREESTNDG BLDG CLOSE TO SF GENERAL AND 101,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bdrm-1-bath-apt-in/7205196027.html,2850,2,800.0,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no parking']"
Oct  1,2 Br Apartment - (*TOP FLOOR*) Walking Distance to USF & Target,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-br-apartment-top-floor/7206407603.html,3250,2,750.0,USF / panhandle,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,"Brand new 1br apt with high-end finishes, W/D",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-1br-apt-with/7206407456.html,2295,1,,inner richmond,1Ba,"['cats are OK - purrr', 'apartment', 'w/d in unit', 'no parking']"
Oct  1,"UPDATED HUGE 2 BED, 1 BATH PLUS 1 TIME MOVE IN BONUS!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-huge-2-bed-1-bath/7204426346.html,3795,2,,russian hill,1Ba,"['condo', 'laundry in bldg', 'no smoking']"
Oct  1,Recently remodeled! Condo-quality flat with a deck! ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-recently-remodeled-condo/7206407243.html,3600,2,,mission district,1Ba,"['flat', 'laundry in bldg', 'street parking']"
Oct  1,Patio/Balcony with Amazing Views & all utilities included,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-patio-balcony-with/7206407201.html,1995,,,,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no parking']"
Oct  1,"HUGE 2 BED, 1 BATH GG BRIDGE VIEWS PLUS 1 TIME MOVE IN BONUS!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-2-bed-1-bath-gg/7204424389.html,3295,2,,russian hill,1Ba,"['condo', 'laundry in bldg', 'no smoking']"
Oct  1,"HUGE 2 BED, 1 BATH PLUS 1 TIME MOVE IN BONUS!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-2-bed-1-bath-plus-1/7204422401.html,3195,2,,russian hill,1Ba,"['condo', 'laundry in bldg', 'no smoking']"
Oct  1,"TOP FLOOR HUGE 2 BED, 1 BATH BAY BRIGE VIEWS PLUS 1 TIME MOVE IN BONUS",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-huge-2-bed-1/7204420463.html,3395,2,,russian hill,1Ba,"['condo', 'laundry in bldg', 'no smoking']"
Oct  1,Immaculate 2br/3br & newly upgraded 1.5 bathrooms w/private garden,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-2br-3br-newly/7206406908.html,3900,3,,nob hill,1.5Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Furnished Corner 1 Bedroom! - Self Guided Tours Available!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-corner-1/7206398858.html,2509,1,,north beach / telegraph hill,1Ba,"['application fee details: $0', 'apartment', 'laundry in bldg', 'attached garage']"
Oct  1,"Downtown Domestic-Bliss-Ville, Population You! - $0 Deposit",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-downtown-domestic-bliss/7205193494.html,1695,,,downtown / civic / van ness,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Top floor studio in prime SOMA location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-studio-in-prime/7206397851.html,1525,,,SOMA,1Ba,"['application fee details: $45.00 application fee for all applicants age 18 and above', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,Great studio in prime SOMA location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-studio-in-prime/7206396068.html,1500,,,SOMA,1Ba,"['application fee details: $45.00 application fee for all applicants age 18 and above', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,Anza Vista One Bedroom with Parking ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-anza-vista-one-bedroom/7206405373.html,2150,1,,Anza Vista,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
Oct  1,Three Bedroom Two Bathroom Mission Cottage ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-three-bedroom-two/7206405106.html,3995,3,,mission district,1.5Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Great El Capistrano Studio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-el-capistrano-studio/7201840325.html,2000,,,mission district,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"Unparalleled Service, Unbeatable Value",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-unparalleled-service/7206399677.html,3198,2,925.0,lower pac hts,2Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Lease take over or Sublease: Brand new 1 bedroom apartment,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lease-take-over-or/7198187861.html,2850,1,,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage']"
Oct  1,*Furnished* Noe Valley Bedroom available! Rent starts at $1395 / Mont,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-noe-valley/7203740203.html,1395,,,alamo square / nopa,1Ba,['apartment']
Oct  1,....    2b/1ba Duplex Private backyard Freshly painted,https://sfbay.craigslist.org/sfc/apa/d/campbell-2b-1ba-duplex-private-backyard/7206338255.html,2000,2,950.0,,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment']"
Oct  1,2467 Sutter Street Apartment,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2467-sutter-street/7193325656.html,3895,2,1000.0,nob hill,1Ba,"['apartment', 'laundry in bldg', 'off-street parking']"
Oct  1,Very Large Flat on Bartlett Street,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-very-large-flat-on/7201839733.html,4000,2,,mission district,splitBa,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage']"
Oct  1,Richmond District One Bedroom With Free Parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-richmond-district-one/7194376393.html,2698,1,800.0,richmond / seacliff,1Ba,"['apartment', 'laundry on site', 'attached garage']"
Oct  1,Spacious & Bright 1 Bedroom In The Heart Of Inner Richmond!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-bright-1-bedroom/7206355627.html,2499,1,,inner richmond,1Ba,"['application fee details: No Application Fee!', 'apartment', 'laundry in bldg', 'attached garage']"
Oct  1,Nob Hill | Jones & Washington | Rear Facing Unit | Laundry,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-jones-washington/7206404235.html,2200,1,,nob hill,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'no parking']"
Oct  1,Richmond District Studio Apartment With Free Parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-richmond-district-studio/7194375335.html,2395,,500.0,richmond / seacliff,1Ba,"['apartment', 'laundry on site', 'no smoking', 'attached garage']"
Oct  1,*1 MONTH FREE* Apt in Duboce Triangle; Perfect Location!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-month-free-apt-in/7206403887.html,2200,1,630.0,castro / upper market,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment']"
Oct  1,"Bright, immaculate 3 Bd/1 Ba Apt.  with magnificent Bay bridge view",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-immaculate-3-bd-1/7206403756.html,3695,3,,north beach / telegraph hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,181 Fremont | ODADA Design  | Views | Doorman | Furnished | Valet,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-181-fremont-odada-design/7196107449.html,26500,2,,SOMA / south beach,2.5Ba,"['application fee details: $30 Application Fee', 'furnished', 'condo', 'w/d in unit', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'valet parking']"
Oct  1,Alamo Square | Western Exposure | Scott and Hayes Street,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-alamo-square-western/7198307781.html,2650,1,,alamo square / nopa,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'no parking']"
Oct  1,Cute 2 Bed/ 2 Bath Victorian with Yard in the Mission,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cute-2-bed-2-bath/7206403578.html,3500,2,700.0,mission district,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site']"
Oct  1,Up to 12 weeks free rent!!! Virtual Tour offered,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-up-to-12-weeks-free-rent/7206403556.html,2279,,402.0,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'wheelchair accessible']"
Oct  1,UCSF | 1 Bedroom | Storage and Parking Included,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ucsf-1-bedroom-storage/7196107107.html,2250,1,,inner sunset / UCSF,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'attached garage']"
Oct  1,Top Floor Rear Facing Unit | Marina | Formal Dining | Shared Yard,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-rear-facing/7196184692.html,3150,1,,marina / cow hollow,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking']"
Oct  1,Top Floor Rear Facing Unit | Marina | Formal Dining | Shared Yard,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-rear-facing/7196108889.html,3150,1,,marina / cow hollow,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking']"
Oct  1,Single Room for Rent,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-single-room-for-rent/7206382613.html,1000,,110.0,SOMA / south beach,sharedBa,"['application fee details: $85 for credit check and processing', 'broker fee details: no brokers fee', 'furnished', 'apartment', 'no laundry on site', 'no smoking', 'no parking']"
Oct  1,Alta Plaza Park | Updated Floors | 1 Bedroom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-alta-plaza-park-updated/7192834724.html,2550,1,,pacific heights,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'no parking']"
Oct  1,"3910 Fulton Street, #8 -  Four Room Apartment",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3910-fulton-street-8-four/7189036535.html,2900,1,950.0,San Franciso Richmond District,1Ba,"['apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,St. Regis | 32nd Floor | Doorman |Room Service| House Bar & Restaurant,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-st-regis-32nd-floor/7201305158.html,9800,2,1670.0,SOMA / south beach,2.5Ba,"['application fee details: $45 Application Fee', 'condo', 'w/d in unit', 'listed by: Lic#01901416 Lic#01096987', 'no smoking', 'valet parking']"
Oct  1,Russian Hill | Vallejo Garden Steps | Parking Included,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-russian-hill-vallejo/7192836314.html,3100,1,,russian hill,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry on site', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'detached garage']"
Oct  1,Jordan Park | Tree Lined Street | Commonwealth Ave | 2 bed 1 bath,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-jordan-park-tree-lined/7206403218.html,3350,2,,laurel hts / presidio,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'laundry in bldg', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'no parking']"
Oct  1,"2 wks Free Rent - Hardwood Flrs, W/D In Unit, Shared Yard",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-wks-free-rent-hardwood/7206403225.html,2284,2,,nob hill,1Ba,"['application fee details: $40.00 per applicant', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"Beautiful, bright, unfurnished condo. 12 months only. ~ J.Wavro",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-bright/7206403090.html,2173,1,,SOMA / south beach,1Ba,"['condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"First months rent FREE! WOW! Charming, Sunny One Bedroom Rent Controll",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-first-months-rent-free/7206402863.html,2700,1,,castro / upper market,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking']"
Oct  1,"Thursday(10/1)6:45pm-7:15pm*HW floors, spacious(1478 California)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-thursday-pm-715pmhw/7206402867.html,2595,2,,san francisco,1Ba,"['apartment', 'no laundry on site', 'no smoking', 'no parking']"
Oct  1,Across from the NEW Crane Cove Park! **2 Months FREE**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-across-from-the-new-crane/7206359640.html,3099,2,921.0,potrero hill,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,Dolores Heights | Panoramic Views | California Modern | Garden Terrace,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dolores-heights-panoramic/7189701565.html,29000,3,,noe valley,3Ba,"['house', 'w/d in unit', 'listed by: DRE# 01901416 & DRE# 01850093', 'no smoking', 'attached garage']"
Oct  1,"Live, Work and Play at Channel Mission Bay",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-live-work-and-play-at/7206402294.html,2906,1,748.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage']"
Oct  1,Light Filled 1 Bedroom | 2 Bay windows | Union St | Dishwasher,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-light-filled-1-bedroom-2/7193460573.html,2450,1,,marina / cow hollow,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'no parking']"
Oct  1,Roof Deck | Valencia & 21st St | Liberty Hill | Walk-In Closet,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-roof-deck-valencia-21st/7204930632.html,1900,,,mission district,1Ba,"['application fee details: $45 Application Fee', 'apartment', 'listed by: Chandler Properties Lic# 01901416', 'no smoking', 'no parking']"
Oct  1,Bright Spacious Remodeled Top Floor 1bd! Shared Yard! ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-spacious-remodeled/7206397648.html,3495,1,,alamo square / nopa,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Pet Friendly 2 Bed in Dogpatch w/Urban Rooftop | Up to 10 Weeks Free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-friendly-2-bed-in/7190312575.html,4202,2,850.0,potrero hill,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,"Cool, Modern Apartment Found in Ornate Building - Move in Special",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cool-modern-apartment/7205200274.html,3145,,,pacific heights,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,WOW! First Months Rent FREE! 1 Bedroom + Den (possible 2 Bedroom),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-wow-first-months-rent/7206400816.html,3000,2,,hayes valley,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking']"
Oct  1,Refreshed Retro Realness in Lower Nob Hill! - Move in Special,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-refreshed-retro-realness/7205198028.html,3495,2,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Penthouse with Private Roofdeck!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-penthouse-with-private/7198143557.html,10500,2,1700.0,nob hill,2Ba,"['apartment', 'w/d in unit', 'detached garage']"
Oct  1,Penthouse with Private Roofdeck!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-penthouse-with-private/7198143310.html,10500,2,1700.0,nob hill,2Ba,"['apartment', 'w/d in unit', 'detached garage']"
Oct  1,$0 Deposit - Vintage Lower Nob Hill Beauty With Updated Swag,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-0-deposit-vintage-lower/7205195667.html,2895,1,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Extra HUGE Two Bedroom 2 baths Apartment near Russian Hill & Nob Hill/,https://sfbay.craigslist.org/sfc/apa/d/extra-huge-two-bedroom-2-baths/7206400429.html,3900,2,,russian hill,2Ba,"['apartment', 'attached garage']"
Oct  1,1BR in desirable Mission neighborhood,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1br-in-desirable-mission/7206400390.html,2095,1,600.0,mission district,1Ba,"['apartment', 'laundry in bldg', 'carport']"
Oct  1,Immaculate Junior 1 bd with a remodeled kitchen w/dishwasher,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-junior-1-bd/7206400329.html,1595,1,,nob hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,105 Palm Avenue #12 - Beautiful 2 Bedroom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-105-palm-avenue-12/7203597447.html,3775,2,,laurel hts / presidio,1Ba,"['application fee details: $40.00 credit check, verify employment and processing', 'condo', 'laundry on site', 'no smoking', 'no parking']"
Oct  1,275 Grand View Avenue #204 - SUNNY ONE BED WITH PARKING,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-275-grand-view-avenue/7197884392.html,2500,1,,castro / upper market,1Ba,"['application fee details: $40 credit check, verify employment and processing', 'apartment', 'laundry in bldg', 'attached garage']"
Oct  1,1 Bed 1 Bath 1 Car Parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bed-1-bath-1-car-parking/7206399920.html,4050,1,830.0,SOMA / south beach,1Ba,"['application fee details: $40', 'condo', 'w/d in unit', 'no smoking', 'valet parking']"
Oct  1,Near DownTown. All inclusive. Furnished. Coliving House,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-near-downtown-all/7198497330.html,1200,,,nob hill,,"['furnished', 'house', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,Large Edwardian 1 Bedroom (or 2 Bedroom) Apartment in the Marina!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-edwardian-1-bedroom/7206323081.html,3250,1,,marina / cow hollow,1Ba,"['application fee details: $30', 'apartment', 'no smoking']"
Oct  1,35 Glover Street - Spacious 2 Bedroom - W/D In Unit - Free 1st Month,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-35-glover-street-spacious/7197883023.html,3400,2,,russian hill,splitBa,"['application fee details: $40 credit check, verify employment and processing', 'apartment', 'w/d in unit', 'no smoking', 'no parking']"
Oct  1,New 1 Bed 1 Bath Apartment with Patio - One Month Free Rent ~ J.Wavro,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-new-1-bed-1-bath/7206373816.html,2500,1,,bernal heights,1Ba,"['dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,561 Greenwich #7 - One Car Parking + 1st month rent free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-561-greenwich-7-one-car/7197882848.html,3250,2,,north beach / telegraph hill,1.5Ba,"['application fee details: $40.00 credit check, verify employment and processing', 'apartment', 'no laundry on site', 'no smoking', 'attached garage']"
Oct  1,1050 Columbus Avenue #303 - Garage Spot Included,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1050-columbus-avenue/7200883574.html,2995,1,,north beach / telegraph hill,1Ba,"['application fee details: $40 credit check, verify employment and processing', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,Modern Jr. 1 Bedroom In The Heart Of Fillmore & Pac Heights,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-jr-1-bedroom-in/7206352883.html,2299,,,pacific heights,1Ba,"['application fee details: No Application Fee!', 'apartment', 'laundry in bldg']"
Oct  1,3045 Franklin St. #103 - Large Remodeled Studio!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3045-franklin-st-large/7205129388.html,2300,,,marina / cow hollow,1Ba,"['apartment', 'no laundry on site', 'no smoking', 'no parking']"
Oct  1,One month FREE! Live across from beautiful Alamo Square Park!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-one-month-free-live/7206368224.html,2995,2,,alamo square / nopa,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,Unique luxury Penthouse,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-unique-luxury-penthouse/7204260202.html,7495,3,,castro / upper market,2Ba,"['apartment', 'w/d in unit', 'no smoking', 'off-street parking']"
Oct  1,Motorcycle Parking Available Now!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-motorcycle-parking/7206399312.html,100,,,north beach / telegraph hill,2Ba,['apartment']
Oct  1,1br Large Corner Unit Apartment / Fantastic view / Balcony / Parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1br-large-corner-unit/7206399010.html,3000,1,950.0,lower pac hts,1Ba,"['application fee details: None', 'condo', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"Thursday(10/1)6pm-6:30pm*SH/L,porch,beautiful location(726A Green)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-thursday10-16pm-630pmsh/7206398884.html,3200,3,,north beach / telegraph hill,1.5Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,First months rent FREE! WOW! 2-Bedroom/1.5 Bath,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-first-months-rent-free/7206398803.html,3200,2,,hayes valley,1.5Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'off-street parking']"
Oct  1,Lower Nob Hill Decadence with Hidden Backyard - Move in Special,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lower-nob-hill-decadence/7205188862.html,2195,,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']"
Oct  1,"Distinctive, Distinguished and Stocked With Amazing Amenities",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-distinctive-distinguished/7205186796.html,2695,1,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'no parking']"
Oct  1,"Thursday(10/1)6pm-6:30pm*SH/L,porch,beautiful location(726A Green)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-thursday10-16pm-630pmsh/7206398884.html,3200,3,,north beach / telegraph hill,1.5Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,First months rent FREE! WOW! 2-Bedroom/1.5 Bath,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-first-months-rent-free/7206398803.html,3200,2,,hayes valley,1.5Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'off-street parking']"
Oct  1,Lower Nob Hill Decadence with Hidden Backyard - Move in Special,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lower-nob-hill-decadence/7205188862.html,2195,,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']"
Oct  1,"Distinctive, Distinguished and Stocked With Amazing Amenities",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-distinctive-distinguished/7205186796.html,2695,1,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'no parking']"
Oct  1,Live Minutes from Union Square and Huntington Park - $0 Deposit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-live-minutes-from-union/7205184813.html,2295,,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,LUMINA 1BR Condo. High Floor Remarkable Water View move in by 10/05/20,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lumina-1br-condo-high/7196892279.html,3800,1,873.0,SOMA / south beach,1Ba,"['dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'valet parking']"
Oct  1,"Thursday(10/1)6pm-6:30pm*Porch, H/W Flrs,Sh. Laundry(726 Green)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-thursday10-16pm/7206398124.html,2995,3,,north beach / telegraph hill,splitBa,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
