price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
3400,9.0,1100.0,2.0,1.0,1,0,0,3
4578,9.0,986.0,2.0,2.0,2,3,0,3
3312,9.0,922.0,2.0,2.0,2,3,0,3
3400,6.0,750.0,2.0,1.0,1,0,0,0
2650,8.0,700.0,2.0,1.0,1,0,0,0
3800,7.0,1400.0,2.0,2.0,1,2,0,0
2685,10.0,970.0,2.0,2.0,2,0,0,3
4999,7.0,1598.0,2.0,1.0,1,0,0,3
3700,2.0,900.0,2.0,1.0,2,0,3,3
2795,8.0,743.0,2.0,2.0,2,3,0,0
3200,8.0,800.0,2.0,1.0,1,0,0,0
3000,8.0,800.0,2.0,1.0,1,0,0,0
3250,5.0,900.0,2.0,1.0,0,0,0,3
2800,8.0,675.0,2.0,1.0,0,0,0,0
2700,8.0,675.0,2.0,1.0,0,0,0,0
3795,9.0,1200.0,2.0,2.0,2,3,0,0
3950,9.0,1450.0,3.0,1.0,2,3,0,0
1691,9.0,232.0,0.0,1.0,1,0,0,3
1660,9.0,232.0,0.0,1.0,1,0,0,3
1690,9.0,233.0,0.0,1.0,1,0,0,3
1679,9.0,241.0,0.0,1.0,1,0,0,3
3000,7.0,810.0,1.0,1.0,2,3,0,3
3999,5.0,1000.0,2.0,1.0,2,0,0,0
3600,5.0,800.0,2.0,2.0,1,3,0,0
3700,9.0,930.0,2.0,2.0,2,2,0,3
2500,10.0,900.0,2.0,1.0,1,0,1,0
2765,10.0,902.0,2.0,1.5,0,0,0,0
2850,8.0,900.0,2.0,1.0,0,0,0,0
2999,1.0,775.0,2.0,1.0,1,0,0,3
3900,9.0,950.0,2.0,2.0,1,3,0,3
6995,8.0,1473.0,2.0,2.5,2,0,0,0
3900,9.0,1254.0,2.0,1.5,2,3,0,3
4500,8.0,1450.0,2.0,2.0,2,3,0,3
5595,9.0,1150.0,2.0,2.0,2,0,0,3
3000,2.0,860.0,2.0,1.0,0,0,0,0
3895,8.0,1000.0,2.0,1.0,1,0,0,1
3999,9.0,1500.0,2.0,2.0,2,0,0,3
4500,7.0,975.0,2.0,2.0,2,0,0,3
3150,9.0,900.0,2.0,1.0,1,3,0,0
